,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'0:0:19.55,81,1724
'0:0:19.6,81,1731
'0:0:19.65,81,1737
'0:0:19.7,81,1745
'0:0:19.75,81,1752
'0:0:19.8,81,1759
'0:0:19.85,81,1764
'0:0:19.9,81,1767
'0:0:19.95,81,1766
'0:0:20.0,80,1762
'0:0:20.05,80,1758
'0:0:20.1,80,1755
'0:0:20.15,80,1752
'0:0:20.2,80,1747
'0:0:20.25,80,1741
'0:0:20.3,80,1735
'0:0:20.35,80,1731
'0:0:20.4,80,1727
'0:0:20.45,80,1721
'0:0:20.5,80,1715
'0:0:20.55,80,1710
'0:0:20.6,80,1703
'0:0:20.65,81,1695
'0:0:20.7,81,1690
'0:0:20.75,81,1688
'0:0:20.8,81,1687
'0:0:20.85,81,1687
'0:0:20.9,81,1685
'0:0:20.95,81,1682
'0:0:21.0,81,1680
'0:0:21.05,81,1679
'0:0:21.1,81,1676
'0:0:21.15,81,1674
'0:0:21.2,81,1674
'0:0:21.25,81,1672
'0:0:21.3,81,1667
'0:0:21.35,82,1663
'0:0:21.4,82,1661
'0:0:21.45,82,1661
'0:0:21.5,82,1661
'0:0:21.55,82,1658
'0:0:21.6,82,1655
'0:0:21.65,82,1654
'0:0:21.7,82,1652
'0:0:21.75,82,1650
'0:0:21.8,82,1649
'0:0:21.85,82,1647
'0:0:21.9,82,1644
'0:0:21.95,82,1642
'0:0:22.0,82,1640
'0:0:22.05,84,1637
'0:0:22.1,84,1636
'0:0:22.15,84,1637
'0:0:22.2,84,1637
'0:0:22.25,84,1636
'0:0:22.3,84,1636
'0:0:22.35,84,1636
'0:0:22.4,84,1639
'0:0:22.45,84,1643
'0:0:22.5,84,1649
'0:0:22.55,84,1654
'0:0:22.6,84,1661
'0:0:22.65,84,1667
'0:0:22.7,84,1673
'0:0:22.75,84,1679
'0:0:22.8,84,1688
'0:0:22.85,84,1697
'0:0:22.9,84,1707
'0:0:22.95,84,1714
'0:0:23.0,84,1721
'0:0:23.05,84,1728
'0:0:23.1,84,1737
'0:0:23.15,84,1746
'0:0:23.2,84,1754
'0:0:23.25,84,1761
'0:0:23.3,84,1768
'0:0:23.35,84,1771
'0:0:23.4,84,1773
'0:0:23.45,84,1772
'0:0:23.5,84,1770
'0:0:23.55,84,1767
'0:0:23.6,84,1763
'0:0:23.65,84,1757
'0:0:23.7,84,1751
'0:0:23.75,84,1746
'0:0:23.8,84,1741
'0:0:23.85,84,1735
'0:0:23.9,84,1730
'0:0:23.95,84,1725
'0:0:24.0,84,1719
'0:0:24.05,86,1714
'0:0:24.1,86,1709
'0:0:24.15,86,1707
'0:0:24.2,86,1705
'0:0:24.25,86,1703
'0:0:24.3,86,1699
'0:0:24.35,86,1696
'0:0:24.4,86,1693
'0:0:24.45,86,1691
'0:0:24.5,86,1688
'0:0:24.55,86,1686
'0:0:24.6,86,1684
'0:0:24.65,86,1682
'0:0:24.7,87,1679
'0:0:24.75,87,1677
'0:0:24.8,87,1676
'0:0:24.85,87,1677
'0:0:24.9,87,1679
'0:0:24.95,87,1679
'0:0:25.0,87,1676
'0:0:25.05,87,1674
'0:0:25.1,87,1671
'0:0:25.15,87,1668
'0:0:25.2,87,1665
'0:0:25.25,87,1662
'0:0:25.3,87,1659
'0:0:25.35,87,1655
'0:0:25.4,87,1651
'0:0:25.45,88,1646
'0:0:25.5,88,1643
'0:0:25.55,88,1642
'0:0:25.6,88,1643
'0:0:25.65,88,1642
'0:0:25.7,88,1641
'0:0:25.75,88,1640
'0:0:25.8,88,1639
'0:0:25.85,88,1637
'0:0:25.9,88,1637
'0:0:25.95,88,1637
'0:0:26.0,88,1639
'0:0:26.05,88,1642
'0:0:26.1,88,1645
'0:0:26.15,87,1648
'0:0:26.2,87,1654
'0:0:26.25,87,1660
'0:0:26.3,87,1668
'0:0:26.35,87,1676
'0:0:26.4,87,1684
'0:0:26.45,87,1692
'0:0:26.5,87,1701
'0:0:26.55,87,1709
'0:0:26.6,87,1719
'0:0:26.65,87,1728
'0:0:26.7,87,1737
'0:0:26.75,87,1745
'0:0:26.8,87,1754
'0:0:26.85,87,1760
'0:0:26.9,86,1765
'0:0:26.95,86,1767
'0:0:27.0,86,1766
'0:0:27.05,86,1765
'0:0:27.1,86,1762
'0:0:27.15,86,1756
'0:0:27.2,86,1747
'0:0:27.25,86,1739
'0:0:27.3,86,1733
'0:0:27.35,86,1728
'0:0:27.4,86,1722
'0:0:27.45,86,1716
'0:0:27.5,86,1710
'0:0:27.55,86,1704
'0:0:27.6,86,1697
'0:0:27.65,86,1692
'0:0:27.7,86,1689
'0:0:27.75,86,1688
'0:0:27.8,86,1687
'0:0:27.85,86,1685
'0:0:27.9,86,1682
'0:0:27.95,86,1680
'0:0:28.0,86,1677
'0:0:28.05,86,1675
'0:0:28.1,86,1673
'0:0:28.15,86,1670
'0:0:28.2,86,1669
'0:0:28.25,86,1666
'0:0:28.3,86,1663
'0:0:28.35,86,1661
'0:0:28.4,86,1661
'0:0:28.45,86,1662
'0:0:28.5,86,1662
'0:0:28.55,86,1661
'0:0:28.6,86,1660
'0:0:28.65,86,1659
'0:0:28.7,86,1657
'0:0:28.75,86,1657
'0:0:28.8,86,1657
'0:0:28.85,86,1656
'0:0:28.9,86,1655
'0:0:28.95,86,1654
'0:0:29.0,85,1650
'0:0:29.05,85,1648
'0:0:29.1,85,1648
'0:0:29.15,85,1649
'0:0:29.2,85,1652
'0:0:29.25,85,1655
'0:0:29.3,85,1660
'0:0:29.35,85,1666
'0:0:29.4,85,1674
'0:0:29.45,85,1680
'0:0:29.5,85,1688
'0:0:29.55,85,1694
'0:0:29.6,85,1701
